	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	3adc2	48.5 10.6 518.0 14.0 50.2  0.6 44.3  1.0 	48.2  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3b620	49.4  8.8 436.0 14.0 50.2  0.6 44.3  1.0 	50.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3bd1a	50.2  7.6 381.0 15.0 50.2  0.6 47.8  1.0 	50.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3c579	50.9  7.0 359.0 15.0 50.2  0.6 47.8  1.0 	50.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3cdda	51.4  5.9 304.0 15.0 50.2  0.6 47.8  1.0 	51.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3d4cf	51.9  5.2 270.0 15.0 50.2  0.7 49.8  1.0 	50.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3dd2e	58.9  0.7 45.0 15.0 50.2  0.7 49.8  1.0 	50.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3dd2e	 0.0  0.0 45.0 15.0 50.2  0.7 49.8  1.0 	50.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3e856	59.9  0.7 44.0 15.0 50.2  0.7 49.8  1.0 	50.1  3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3f0b4	50.6  4.7 240.0 15.0 50.2  0.6 49.7  1.0 	51.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3f7ae	52.4  4.7 248.0 15.0 50.2  0.6 49.7  1.0 	46.3 12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	4000d	45.0 15.6 705.0 16.0 50.2  0.5 49.7  1.0 	43.7 14.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	4043b	43.7 17.7 777.0 16.0 50.2  0.7 39.0  1.0 	28.6 40.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	40f64	59.4  0.6 41.0 16.0 50.2  0.7 39.0  1.0 	24.5 35.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	41394	59.7  0.7 42.0 16.0 50.2  0.7 39.0  1.0 	23.9 24.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	41ebc	 0.0  0.0  0.0  0.0 50.2  0.0  0.0  0.0 	27.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	422ee	28.8 37.3 1077.0 17.0 50.2  0.5 23.5  1.0 	28.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	42b4b	29.7 37.7 1123.0 17.0 50.2  0.5 23.5  1.0 	30.0  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	43672	51.4  3.2 166.0 18.0 50.2  0.7 26.6  1.0 	24.2 14.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	43aa2	58.7  0.7 41.0 18.0 50.2  0.7 26.6  1.0 	23.2 13.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	445ca	60.1  0.7 42.0 18.0 50.2  0.7 26.6  1.0 	23.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	44b60	60.3  0.7 43.0 18.0 50.2  0.5 23.7  1.0 	25.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	453be	28.0 37.1 1044.0 19.0 51.1  0.4 23.7  1.0 	25.4  3.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	457ed	25.8 38.8 1004.0 19.0 51.6  0.5 23.7  1.0 	24.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	46316	26.9 37.7 1015.0 20.0 53.0  0.5 23.1  1.0 	25.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	46b74	26.9 38.0 1023.0 20.0 53.7  0.5 23.1  1.0 	26.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	47539	 0.0  0.0  0.0  0.0 54.3  0.0  0.0  0.0 	22.8 13.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
