H182_noSync_v1.3.1
**
Starting Upv1.3.1
**
System Init.>>00.0V 00.0A 0000W 00000Wh 000.0C 000.0C 000.0C 000.0C 0.00B 00.0V 000.0C IN 00.0C 00 0
000 m
>>56.0V 01.2A 0069W 00001Wh 026.5C 033.2C 035.0C 033.5C 0.67B 55.0V 035.1C OP 41.3C 20 0208 0C 00 0
>>56.0V 01.1A 0066W 00001Wh 026.6C 033.3C 035.0C 033.6C 0.67B 55.0V 035.0C OP 41.2C 20 0207 0C 00 0
>>56.0V 01.1A 0062W 00001Wh 026.6C 033.3C 035.0C 033.6C 0.67B 55.0V 035.2C OP 41.2C 20 0207 0C 00 0
>>56.1V 01.1A 0066W 00001Wh 026.7C 033.3C 035.1C 033.7C 0.66B 55.4V 035.1C OP 41.2C 20 0207 0C 00 0
>>53.1V 01.1A 0060W 00001Wh 026.7C 033.4C 035.1C 033.8C 0.67B 55.4V 034.9C OP 41.2C 20 0207 0C 00 0
>>56.1V 01.2A 0072W 00001Wh 026.8C 033.4C 035.2C 033.8C 0.66B 55.4V 035.1C OP 41.3C 20 0208 0C 00 0
>>56.2V 01.1A 0065W 00001Wh 026.8C 033.4C 035.2C 033.8C 0.64B 55.4V 035.1C OP 41.2C 20 0207 0C 00 0
>>54.1V 02.3A 0126W 00001Wh 026.9C 033.5C 035.3C 033.9C 0.62B 55.4V 035.2C OP 41.5C 20 0215 0C 00 0
>>52.8V 03.0A 0161W 00001Wh 026.9C 033.5C 035.3C 034.0C 0.58B 55.4V 035.1C OP 41.7C 20 0220 0C 00 0
>>52.5V 03.4A 0183W 00001Wh 027.0C 033.6C 035.4C 034.0C 0.68B 52.2V 035.2C OP 41.8C 20 0223 0C 00 0
>>54.5V 00.6A 0033W 00001Wh 027.1C 033.6C 035.4C 034.1C 0.68B 52.2V 035.7C OP 41.2C 20 0205 0C 00 0
>>59.0V 00.6A 0036W 00001Wh 027.1C 033.7C 035.5C 034.2C 0.68B 52.2V 035.4C OP 41.1C 20 0204 0C 00 0
>>59.5V 00.6A 0038W 00001Wh 027.2C 033.7C 035.6C 034.2C 0.68B 52.2V 035.6C OP 41.1C 20 0204 0C 00 0
>>59.8V 00.6A 0036W 00001Wh 027.2C 033.8C 035.7C 034.2C 0.68B 52.2V 035.8C OP 41.1C 20 0204 0C 00 0
>>60.0V 00.5A 0035W 00001Wh 027.2C 033.8C 035.7C 034.3C 0.68B 52.2V 035.3C OP 41.1C 20 0203 0C 00 0
>>60.1V 00.5A 0035W 00001Wh 027.3C 033.8C 035.7C 034.3C 0.59B 44.2V 035.3C OP 41.1C 20 0203 0C 00 0
>>45.6V 12.5A 0570W 00001Wh 027.3C 033.9C 035.8C 034.4C 0.59B 44.2V 035.3C OP 43.7C 20 0276 0C 00 0
>>46.3V 15.0A 0696W 00001Wh 027.4C 034.0C 035.9C 034.5C 0.59B 44.2V 035.7C OP 44.6C 20 0300 0C 00 0
>>46.7V 13.9A 0653W 00002Wh 027.5C 034.0C 036.0C 034.6C 0.61B 44.2V 035.7C OP 44.4C 20 0294 0C 00 0
>>48.4V 10.8A 0523W 00002Wh 027.7C 034.2C 036.1C 034.8C 0.62B 44.2V 035.4C OP 43.6C 20 0273 0C 00 0
>>50.3V 07.9A 0399W 00002Wh 027.9C 034.3C 036.3C 034.9C 0.62B 44.2V 035.2C OP 42.9C 20 0255 0C 00 0
