	Millis	 V_cI A_cI	 V_cO A_cO	 V_MT A_MT
CS	29944	45.7  0.0 	46.7  3.7 	45.6 21.1 
CS	29ba8	42.4  0.0 	41.7 15.7 	43.1 40.0 
CS	29f3f	42.8  0.0 	42.6 10.3 	42.9 34.9 
CS	2a1a3	38.6  0.0 	38.1 21.7 	39.3 26.1 
CS	2a2d4	40.2  0.0 	39.6 17.0 	40.3 21.2 
CS	2a66b	39.7  0.0 	39.3 15.7 	39.3 17.4 
CS	2a8e1	38.3  0.0 	37.6 16.3 	38.3 19.5 
CS	2ab34	39.7  0.0 	39.2 10.9 	39.7 11.9 
CS	2aeca	41.3  0.0 	40.8  0.0 	40.7  0.1 
CS	2b12f	41.4  0.0 	40.7  0.0 	40.8  0.0 
CS	2b261	41.4  0.0 	40.9  0.5 	40.8  0.1 
CS	2b5f7	41.0  0.0 	40.8  0.5 	40.8  0.1 
CS	2b861	45.2 16.3 	44.6  1.0 	45.5  0.0 
CS	2bac0	45.7 14.6 	45.0  0.5 	45.9  0.0 
CS	2be56	46.1 12.6 	45.5  1.5 	46.4  0.0 
CS	2bf88	46.1 11.1 	45.5  0.0 	46.4  1.1 
CS	2c1ec	45.7  7.5 	45.1  0.0 	45.8  4.6 
CS	2c583	42.7  0.0 	40.5  7.4 	41.3 30.9 
CS	2c7e7	40.6  0.0 	39.8  3.0 	40.8 30.9 
CS	2c919	40.6  0.0 	40.2  6.3 	41.0 29.2 
CS	2cde2	41.5  0.0 	41.1  0.5 	41.8 23.1 
CS	2cf14	42.2  0.0 	41.8  2.0 	41.7  0.7 
CS	2d177	42.7  0.4 	41.8  1.0 	43.3  0.0 
CS	2d50e	42.3  0.0 	41.8  6.3 	41.5  0.5 
CS	2d772	42.3  0.0 	41.8  0.0 	41.7  0.1 
CS	2d8a4	42.0  0.0 	41.0  2.7 	41.4  1.3 
CS	2dd6d	36.6  0.0 	36.2 19.1 	37.0 21.2 
CS	2dfd7	36.2  0.0 	35.8 15.0 	36.6 17.3 
CS	2e236	36.3  0.0 	36.0 13.3 	36.7 14.4 
CS	2e5cb	36.9  0.0 	36.6  8.6 	36.8  8.6 
CS	2e6fd	40.2  7.0 	39.9  0.0 	41.5 16.6 
CS	2e962	38.7  0.4 	38.3  0.0 	39.8 25.7 
CS	2ecf8	39.3  0.0 	38.8  0.0 	40.2 24.1 
CS	2ef5d	39.9  0.8 	39.6  0.0 	41.2 20.0 
CS	2f1c1	40.1  0.8 	39.6  0.0 	40.8 22.1 
CS	2f557	41.8 11.1 	41.5  0.0 	42.7 13.9 
CS	2f689	44.0 18.7 	43.4  1.0 	44.3  0.0 
CS	2f8ed	44.6 17.7 	43.9  0.0 	44.8  0.0 
CS	2fc84	45.5 16.3 	44.8  1.0 	45.7  0.0 
CS	2fee7	42.3  0.0 	41.8  0.0 	41.7  0.1 
CS	30019	42.3  0.0 	41.8  0.0 	41.7  0.1 
CS	304e2	42.4  0.0 	41.7  0.0 	41.7  0.1 
CS	30614	42.2  0.0 	41.6  0.0 	41.5  0.7 
CS	30878	41.2  0.0 	40.8  2.0 	40.9  2.8 
CS	30c0e	37.3  0.0 	35.7 19.4 	35.9 22.9 
CS	30e72	36.0  0.0 	35.8 16.8 	36.4 22.7 
CS	30fa4	36.2  0.0 	35.7 15.0 	36.4 17.6 
CS	3146d	36.0  0.0 	35.2 11.1 	35.6 12.9 
CS	315b0	36.1  0.0 	35.6 11.4 	35.9  9.8 
CS	31803	38.1  0.0 	37.7  2.0 	37.6  0.0 
CS	31b99	38.2  0.0 	37.7  0.0 	37.6  0.1 
CS	31e0f	38.1  0.0 	38.8  0.0 	37.6  0.0 
CS	31f30	38.1  0.0 	38.4  0.0 	37.9  0.4 
CS	323f8	34.3  0.0 	33.5 13.0 	33.8 15.5 
CS	32529	33.4  0.0 	34.2 15.0 	33.9 16.9 
CS	3278e	32.8  0.0 	32.4 14.3 	33.1 16.8 
CS	32b24	32.8  0.0 	32.2 10.0 	32.6 12.9 
CS	32d89	35.7  3.7 	35.2  0.0 	37.0 27.3 
CS	32ebb	36.7  4.0 	36.3  0.0 	37.7 24.9 
CS	33257	36.5  2.3 	36.2  0.0 	37.9 25.9 
CS	334b5	37.2  3.1 	36.8  0.0 	38.3 24.4 
CS	33719	37.7  7.0 	37.5  1.0 	39.4 18.7 
CS	33ab0	38.6  7.8 	38.2  0.0 	39.7 17.9 
CS	33e46	39.5 14.3 	38.6  0.0 	40.2 18.3 
CS	340ab	39.2  5.3 	38.7  0.0 	40.1 20.3 
CS	341dd	40.0  8.3 	39.5  0.0 	40.7 16.5 
CS	346a4	43.4 22.0 	42.8  1.5 	43.7  0.0 
CS	347e8	43.8 21.7 	43.2  1.0 	44.0  0.0 
CS	34a3b	44.4 19.3 	43.8  1.0 	44.7  0.0 
CS	34dd1	46.8 18.0 	44.6  1.0 	45.4  0.0 
CS	35046	45.7 16.6 	45.1  0.0 	45.9  0.0 
CS	35168	45.8 20.3 	45.2  0.0 	46.0  1.2 
CS	35630	41.0  0.0 	40.4  3.7 	41.3 32.1 
CS	35762	41.9  0.0 	41.5  6.6 	42.4 25.5 
CS	359c6	41.6  0.0 	41.1  0.5 	41.7 28.0 
CS	35d5d	41.8  0.0 	41.4  0.0 	42.6 25.7 
CS	35fc1	46.1 16.9 	45.4  1.0 	46.3  0.0 
CS	360f3	46.3 16.0 	45.6  1.0 	47.8  0.0 
CS	365bc	47.1 14.0 	46.7  0.5 	47.2  0.0 
CS	366ed	47.3 13.4 	46.6  0.5 	47.5  0.0 
CS	36951	47.5 12.0 	47.0  0.5 	47.7  0.0 
CS	36ce8	42.4  0.0 	41.7 10.6 	42.8 35.6 
CS	36f4c	42.7  0.0 	41.9  7.4 	42.9 30.5 
CS	3707e	42.1  0.0 	41.4  8.9 	42.2 34.4 
CS	37415	39.8  0.0 	39.1 17.0 	39.6 19.6 
CS	37679	40.0  0.0 	39.4 12.5 	39.8 14.7 
CS	378de	39.5  0.0 	38.8 12.8 	39.2 14.1 
CS	37c73	38.9  0.0 	37.5 12.0 	38.4 12.7 
CS	37da5	39.7  0.0 	39.3  6.3 	39.5  5.1 
CS	3800a	38.3  0.0 	37.8 10.6 	37.3 10.3 
CS	383a0	37.7  0.0 	37.5  9.7 	37.7  8.8 
CS	38605	39.5  0.0 	38.8  2.0 	39.0  0.5 
CS	38869	39.5  0.0 	39.1  2.0 	38.9  0.0 
CS	38c00	43.5 16.9 	42.2  1.0 	43.7  0.0 
CS	38d31	43.8 16.0 	43.2  1.0 	44.0  0.0 
CS	38f95	44.3 14.9 	43.7  0.5 	43.9  0.0 
CS	3933d	45.0 11.7 	44.4  0.5 	45.2  0.0 
CS	39590	45.5  9.7 	44.8  0.5 	45.6  0.0 
CS	396c2	45.6 12.6 	44.8  0.5 	45.8  0.0 
CS	39b8a	46.5 11.7 	45.8  0.5 	46.6  0.0 
CS	39cbc	47.7 11.4 	46.0  0.5 	46.8  0.0 
CS	39f20	47.0 10.9 	46.4  0.5 	48.8  0.0 
CS	3a2b7	49.3 10.3 	47.1  0.5 	48.7  0.0 
CS	3a51a	48.0 10.9 	47.4  0.5 	48.1  0.0 
CS	3a64c	48.3 10.3 	47.5  0.5 	48.8  0.0 
CS	3ab15	48.8  9.3 	48.1  0.0 	48.8  0.0 
CS	3ac46	48.9  9.0 	48.2  0.5 	49.0  0.0 
CS	3aeab	49.2  5.0 	48.5  0.0 	49.2  0.5 
CS	3b241	50.0  7.5 	48.9  0.0 	49.9  0.0 
CS	3b4a4	49.8 10.0 	50.7  0.0 	49.7  0.8 
CS	3b5d7	49.9  7.0 	49.3  0.0 	50.2  0.0 
CS	3b972	48.8  1.2 	48.1  0.0 	48.1  0.1 
CS	3bbd0	50.7 12.6 	50.0  0.0 	50.7  0.1 
CS	3be35	50.8  6.5 	50.2  0.0 	50.8  0.0 
CS	3c1cb	51.1  6.0 	50.4  0.0 	51.1  0.0 
CS	3c42f	51.2  5.7 	50.5  0.0 	51.2  0.0 
CS	3c572	51.3  5.3 	50.6  0.0 	51.4  0.0 
CS	3c8f7	51.5  5.0 	51.0  0.0 	51.5  0.0 
CS	3cb60	51.7  4.7 	51.0  0.0 	51.7  0.0 
CS	3cdd0	51.8 10.6 	51.1  2.0 	51.8  0.0 
CS	3d156	50.8  0.0 	50.2  0.0 	50.2  0.1 
CS	3d288	50.8  0.0 	50.2  0.0 	50.2  0.1 
CS	3d4eb	50.8  0.0 	50.2  0.0 	50.1  0.0 
CS	3d882	50.8  0.0 	50.1  0.0 	50.0  0.1 
CS	3dae6	50.8  0.0 	50.4  0.0 	50.1  0.1 
CS	3dd49	50.8  0.0 	50.1  0.0 	50.0  0.8 
CS	3e0e0	50.8  0.0 	50.1  1.0 	50.0  0.1 
CS	3e476	50.8  0.0 	50.0  0.0 	50.0  0.1 
CS	3e6da	50.8  5.0 	50.1  3.3 	50.0  2.1 
CS	3e80c	50.7  3.1 	50.0  0.0 	49.9  1.6 
CS	3ecd4	52.2  4.3 	51.5  0.0 	52.0  0.0 
CS	3ee06	52.3  2.6 	51.5  0.0 	52.2  0.0 
CS	3f06a	52.2  3.7 	51.7  0.0 	52.3  0.0 
CS	3f401	49.8  0.0 	49.2  4.0 	49.9 13.3 
CS	3f664	47.2  0.0 	46.3 12.0 	47.3 28.7 
CS	3f7a7	46.7  0.0 	45.8 13.5 	46.7 32.0 
CS	3fb2d	44.6  0.0 	44.8 16.5 	46.0 35.8 
CS	3fd91	44.5  0.0 	43.7 14.7 	44.9 36.7 
CS	40006	35.8  0.0 	36.2 40.0 	39.5 40.0 
CS	4038b	34.4  0.0 	33.5 40.0 	35.2 40.0 
CS	404bd	29.6  0.0 	28.6 40.0 	31.2 40.0 
CS	40721	29.0  0.0 	28.2 40.0 	30.2 40.0 
CS	40ab8	27.8  0.0 	26.9 40.0 	28.4 40.0 
CS	40d1b	25.2  0.0 	24.5 35.7 	26.3 40.0 
